timestamp,client,command,args
"21:41:28.934","[0 74.220.52.2:64748]","SPOP","""queue:movies:male:male"""
"21:41:28.999","[0 74.220.52.2:64748]","SPOP","""queue:movies:male:any"""
"21:41:29.065","[0 74.220.52.2:64748]","SPOP","""queue:movies:female:male"""
"21:41:29.130","[0 74.220.52.2:64748]","SPOP","""queue:movies:female:any"""
"21:41:29.195","[0 74.220.52.2:64748]","SPOP","""queue:movies:other:male"""
"21:41:29.261","[0 74.220.52.2:64748]","SPOP","""queue:movies:other:any"""
"21:41:29.326","[0 74.220.52.2:64748]","SADD","""queue:movies:male:any"" ""1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:29.392","[0 74.220.52.2:64748]","EXPIRE","""queue:movies:male:any"" ""3600"""
"21:41:29.457","[0 74.220.52.2:64748]","SETEX","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"" ""30"" ""{\""id\"": \""1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421\"", \""codename\"": \""Subject #200\"", \""gender\"": \""male\"", \""preference\"": \""any\"", \""topic\"": \""movies\""}"""
"21:41:29.523","[0 74.220.52.2:64748]","SETEX","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"" ""30"" ""1"""
"21:41:29.589","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:41:29.654","[0 74.220.52.2:64748]","SCARD","""queue:anime:any:any"""
"21:41:29.719","[0 74.220.52.2:64748]","SCARD","""queue:gaming:any:any"""
"21:41:29.784","[0 74.220.52.2:64748]","SCARD","""queue:movies:any:any"""
"21:41:29.854","[0 74.220.52.2:64748]","SCARD","""queue:movies:male:any"""
"21:41:29.920","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:41:32.281","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:34.294","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:36.280","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:38.297","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:41.388","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:41.453","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"" ""30"""
"21:41:41.520","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"" ""30"""
"21:41:42.374","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:41:42.439","[0 74.220.52.2:64748]","SCARD","""queue:anime:any:any"""
"21:41:42.505","[0 74.220.52.2:64748]","SCARD","""queue:gaming:any:any"""
"21:41:42.570","[0 74.220.52.2:64748]","SCARD","""queue:movies:any:any"""
"21:41:42.635","[0 74.220.52.2:64748]","SCARD","""queue:movies:male:any"""
"21:41:42.701","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:41:43.384","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:45.377","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:47.375","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:51.388","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:51.453","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:heartbeat"" ""30"""
"21:41:51.518","[0 74.220.52.2:64748]","EXPIRE","""user:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421:data"" ""30"""
"21:41:52.375","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:41:52.440","[0 74.220.52.2:64748]","SCARD","""queue:anime:any:any"""
"21:41:52.505","[0 74.220.52.2:64748]","SCARD","""queue:gaming:any:any"""
"21:41:52.571","[0 74.220.52.2:64748]","SCARD","""queue:movies:any:any"""
"21:41:52.636","[0 74.220.52.2:64748]","SCARD","""queue:movies:male:any"""
"21:41:52.701","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:41:53.376","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:55.373","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:57.376","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:41:57.740","[0 100.48.51.12:55888]","KEYS","""queue:*"""
"21:41:58.112","[0 100.48.51.12:55888]","SCARD","""queue:anime:any:any"""
"21:41:58.299","[0 100.48.51.12:55888]","SCARD","""queue:gaming:any:any"""
"21:41:58.487","[0 100.48.51.12:55888]","SCARD","""queue:movies:any:any"""
"21:41:58.674","[0 100.48.51.12:55888]","SCARD","""queue:movies:male:any"""
"21:41:58.861","[0 100.48.51.12:55888]","KEYS","""room:*:p"""
"21:41:59.353","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
"21:42:00.476","[0 103.44.52.75:55886]","FLUSHDB",""
"21:42:01.489","[0 74.220.52.2:64748]","GET","""match:1f6d57be-f6c0-4d0b-a9e1-ac16c7f36421"""
